"vst.mean"	"vst.variance"	"vst.variance.expected"	"vst.variance.standardized"	"vst.variable"
"2969"	1.019	1.364003003003	2.44766068090422	0.557268012533135	0
"2763"	1.013	1.37820920920921	2.37870420656132	0.579394951842947	0
"3276"	1.033	1.4994104104104	2.60934150318097	0.574631725507192	0
"2908"	1.004	1.38737137137137	2.26664344062055	0.612081876888205	0
"3404"	1.024	1.50492892892894	2.50529790931749	0.600698592902635	0
"4792"	1.014	1.2991031031031	2.39017916540661	0.543517039184846	0
"4685"	1.023	1.57604704704705	2.49375945247988	0.631996420296182	0
"4478"	1.001	1.33433333333333	2.22782966252845	0.598938669224357	0
"2679"	1.016	1.40114514514515	2.41315115407556	0.580628835777136	0
"3885"	1.011	1.33821721721722	2.35516163453338	0.568206104241482	0
"2751"	1.014	1.38719119119119	2.39017916540661	0.58037121704858	0
"3491"	1.016	1.48322722722723	2.41315115407556	0.614643315949028	0
"3895"	0.981	1.24188088088088	1.98683396766371	0.625055188854655	0
"3768"	1.005	1.37034534534535	2.27959623909604	0.601135114123873	0
"3086"	1.003	1.30229329329329	2.25367679650034	0.577852731729581	0
"3210"	0.99	1.33323323323323	2.08926419145137	0.638135300785995	0
"4006"	0.991	1.42634534534535	2.10202127835048	0.678558947064816	0
"2831"	0.999	1.39639539539539	2.20230487294716	0.634060893452374	0
"3172"	1.008	1.43737337337337	2.31804308121093	0.620080526123137	0
"3473"	0.996	1.41139539539539	2.16514833104937	0.65187007058835	0
"3167"	1.005	1.37635135135135	2.27959623909604	0.603769793854872	0
"3168"	1.002	1.43943543543543	2.24072836337419	0.642396222122996	0
"2515"	1.005	1.5224974974975	2.27959623909604	0.667880333975828	0
"2777"	1.003	1.47046146146146	2.25367679650034	0.652472201757098	0
"4835"	0.999	1.47847747747747	2.20230487294716	0.671331883082541	0
"3743"	1.018	1.51118718718718	2.43615095534789	0.620317548003254	0
"3283"	0.976	1.27670070070071	1.93926609067822	0.658342198029253	0
"2960"	0.977	1.30777877877878	1.94815322145631	0.671291541330191	0
"3649"	1.028	1.49871471471471	2.55149959725667	0.587385832365449	0
"3351"	1.007	1.36231331331331	2.30532942471002	0.590940842862265	0
"2696"	0.987	1.34417517517518	2.05221498758895	0.654987505356047	0
"3350"	0.99	1.27317317317317	2.08926419145137	0.60938830923471	0
"2683"	0.988	1.40325925925925	2.06428147224683	0.679780968886917	0
"3528"	1.003	1.4144054054054	2.25367679650034	0.627599045081259	0
"3910"	1.008	1.41935535535535	2.31804308121093	0.612307582572577	0
"3780"	0.986	1.27908308308308	2.04053558400652	0.626836940805336	0
"3215"	1.001	1.40640540540541	2.22782966252845	0.631289469325598	0
"4513"	0.991	1.3742932932933	2.10202127835048	0.653796090195498	0
"4757"	1.015	1.4221971971972	2.40166156207428	0.592172194307374	0
"3392"	0.99	1.3072072072072	2.08926419145137	0.625678271113771	0
"2874"	1.029	1.62378278278279	2.56306078972153	0.633532684552206	0
"2797"	0.974	1.26859259259259	1.9248735544064	0.659052429541948	0
"2837"	1.006	1.47744144144145	2.29250260399509	0.644466636097482	0
"2886"	1.004	1.47145545545545	2.26664344062055	0.649178176454873	0
"4494"	1.011	1.50037937937938	2.35516163453338	0.637060046062034	0
"3886"	0.98	1.31891891891892	1.97674349726153	0.667218038529568	0
"2663"	1.002	1.39739339339339	2.24072836337419	0.623633554264973	0
"3493"	0.977	1.30377477477477	1.94815322145631	0.669236259456102	0
"2861"	0.984	1.30504904904905	2.01843168619421	0.646565874869783	0
"4363"	0.993	1.37832932932933	2.12765806793268	0.647815243484384	0
"4724"	0.987	1.3661971971972	2.05221498758895	0.665718360629594	0
"4877"	0.973	1.26153253253253	1.91934124611732	0.65727370528014	0
"2534"	1.004	1.43141541541541	2.26664344062055	0.631513271899317	0
"3130"	0.992	1.35529129129129	2.11484699445046	0.640846025668847	0
"4009"	0.993	1.40035135135135	2.12765806793268	0.658165601163529	0
"3349"	0.985	1.48225725725725	2.02931960586645	0.730420803589681	0
"4201"	1.003	1.47246346346346	2.25367679650034	0.653360528781235	0
"3189"	0.973	1.31358458458458	1.91934124611732	0.684393453869585	0
"4543"	0.979	1.42798698698699	1.96691657433647	0.726002823718493	0
"2823"	0.982	1.39707307307307	1.99716265620782	0.699528938582211	0
"3762"	0.975	1.24762262262263	1.93138082714942	0.645974426733865	0
"3141"	0.993	1.49044144144144	2.12765806793268	0.700507973487305	0
"4473"	0.978	1.30081681681682	1.9573782279445	0.664571005361003	0
"2654"	0.983	1.302013013013	2.00770390222144	0.648508483533053	0
"4980"	0.998	1.37136736736737	2.18973917563383	0.626269732316599	0
"4372"	0.979	1.31587487487488	1.96691657433647	0.669003907966344	0
"4970"	0.994	1.28524924924925	2.14036971849935	0.600480019008286	0
"2779"	0.977	1.28976076076076	1.94815322145631	0.662042772896797	0
"3835"	0.981	1.32396296296297	1.98683396766371	0.66636819407703	0
"3739"	1.001	1.38838738738739	2.22782966252845	0.623201769300288	0
"3529"	0.972	1.33254854854854	1.91438491751498	0.696071378517911	0
"4146"	0.983	1.30601701701701	2.00770390222144	0.650502803511997	0
"3333"	0.98	1.34094094094094	1.97674349726153	0.678358594728452	0
"2656"	0.974	1.26258658658659	1.9248735544064	0.655932221467887	0
"4759"	0.991	1.38029929929931	2.10202127835048	0.65665334291119	0
"4488"	1.004	1.43942342342342	2.26664344062055	0.635046252810427	0
"3505"	0.986	1.39119519519519	2.04053558400652	0.681779433840417	0
"3161"	0.995	1.40638138138139	2.15289569234939	0.653251054558359	0
"2987"	1.003	1.47646746746746	2.25367679650034	0.655137182829509	0
