"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"phenoid"	"RNA_snn_res.2"	"seurat_clusters"	"ident"	"sizeFactor"	"TSNE_1"	"TSNE_2"
"cell_70"	1	22998	2861	2	28	6	6	1.47218762197354	0.577146943690458	0.502218644242709
"cell_71"	1	24682	2923	2	5	13	13	1.43882949572605	-2.8982422310831	-0.611708171445437
"cell_72"	1	12592	2145	2	15	22	22	0.781497481836694	-1.57016487672572	-3.8568928884105
"cell_73"	1	14963	2327	2	13	3	3	0.903604368177146	0.331122688282366	0.608017000997886
"cell_74"	1	18641	2564	2	28	6	6	1.10625975556318	0.830376460914477	-1.56385517145311
"cell_75"	1	17699	2565	2	6	14	14	1.10468565820151	-1.0725765864857	-1.41098403858629
"cell_76"	1	21589	2828	2	28	6	6	1.31113426488176	2.12950203270382	-1.17267134497315
"cell_77"	1	18509	2558	2	10	18	18	1.10971450246067	-0.56156102105484	0.487413053095687
"cell_78"	1	18716	2608	2	3	11	11	1.12268913160916	1.75446615497197	-0.642379694954402
"cell_79"	1	21583	2832	2	32	10	10	1.34109611455924	-0.685260937330815	0.827214391997141
"cell_80"	1	19731	2728	2	13	3	3	1.23676031753957	1.56851557408024	0.923531444514632
"cell_81"	1	17056	2484	2	22	29	29	1.02469193399307	-3.56809657100948	-1.59008161305252
"cell_82"	1	15968	2437	2	3	11	11	1.00165091285388	3.75681719299134	1.83884129260229
"cell_83"	1	16408	2494	2	3	11	11	0.984624744628365	-3.67019401798852	0.712408644608114
"cell_84"	1	24775	2936	2	22	29	29	1.49601097962017	0.532085231827241	-2.16958160254157
"cell_85"	1	5736	1336	2	31	9	9	0.362809791005743	3.16505619093369	3.78379304681393
"cell_86"	1	21801	2847	2	31	9	9	1.36171788000807	-2.64858907089956	0.740353409655077
"cell_87"	1	15487	2394	2	7	15	15	0.961312320066048	1.41397485120141	3.73125699012395
"cell_88"	1	22637	2866	2	32	10	10	1.4137791712153	-0.0281716255450239	-0.853199364213017
"cell_89"	1	21993	2823	2	23	30	30	1.30841659583919	-0.644512668058354	1.85665531755262
"cell_90"	1	13539	2297	2	7	15	15	0.842691107021893	-4.03915619904874	-2.81081501138776
"cell_91"	1	11991	2170	2	4	12	12	0.73858739176446	-1.67542312023058	1.27913568692277
"cell_92"	1	23202	2897	2	2	2	2	1.47189700561726	-0.449491499305986	-2.56883135290474
"cell_93"	1	23408	2997	2	2	2	2	1.48366370610502	0.9751069887241	2.48600566092433
"cell_94"	1	17252	2552	2	2	2	2	1.02192387350601	-1.78710995093181	2.20942797046871
"cell_95"	1	29821	3096	2	26	32	32	1.79492568135854	-0.91396376603524	0.376594430242857
"cell_96"	1	14682	2336	2	24	4	4	0.906063352305587	0.541125047707663	0.129813258237104
"cell_97"	1	24078	2956	2	8	16	16	1.47562639918637	-2.19307838159884	1.00885938629416
"cell_98"	1	9520	1896	2	30	8	8	0.601980771694529	-2.67829098472476	1.72344514707341
"cell_99"	1	12068	2158	2	27	5	5	0.730371202489836	4.26133610548375	-3.78780836987125
"cell_100"	1	6067	1427	2	10	18	18	0.349673871016353	2.10435874947739	2.80807721497207
"cell_101"	1	21010	2752	2	9	17	17	1.36535625034051	1.49979543171183	2.09360937720509
"cell_102"	1	17844	2595	2	3	11	11	1.06682286464633	1.40192922814697	-3.04996719416457
"cell_103"	1	25543	3001	2	8	16	16	1.58606413898793	-0.96999320698362	-2.75972680506049
"cell_104"	1	14988	2387	2	16	23	23	0.949679692377093	0.318352190061562	-0.626085797398271
"cell_105"	1	16030	2480	2	27	5	5	1.04867363505588	-1.59634287473021	3.10747668458982
